,name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,selling_price
302,Renault Duster 85PS Diesel RxL,2015,75000,Diesel,Dealer,Manual,First Owner,19.87 kmpl,1461 CC,83.8 bhp,200Nm@ 1750rpm,5.0,484455.460341801
303,Maruti 800 AC,2009,80000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,107398.3656100699
304,Mahindra Bolero 2011-2019 EX AC,2017,70000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,683344.500322446
305,Nissan Terrano XE 85 PS,2016,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,589559.7380583987
306,Mahindra Bolero Power Plus ZLX,2019,14000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0,715934.1227907614
307,Maruti Wagon R LXI,2004,70000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,101731.68245254195
308,Maruti Swift Dzire VDI,2014,90000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,428175.3949120429
309,Maruti Wagon R VXI Optional,2015,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,361433.46538519853
310,Hyundai i20 2015-2017 Magna 1.2,2016,29000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,439804.2510926669
311,Maruti Celerio VXI AT,2014,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,356813.65319232544
312,Honda City VX CVT,2019,20000,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0,1022960.3257127837
313,Honda Brio S MT,2012,60000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,321723.8456044271
314,Ford Ecosport 1.5 Ti VCT MT Titanium,2015,20000,Petrol,Individual,Manual,Second Owner,15.8 kmpl,1499 CC,110 bhp,140Nm@ 4400rpm,5.0,459393.465679666
315,Hyundai EON Sportz,2013,50000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,228667.28550778906
316,Tata Indigo eCS LX TDI BSIII,2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5.0,175896.2888631421
317,Tata Zest Quadrajet 1.3 XT,2018,70000,Diesel,Individual,Manual,First Owner,20.65 kmpl,1248 CC,88.7 bhp,190Nm@ 1750-3000rpm,5.0,521102.0074195718
318,Maruti Swift Dzire VDI,2015,50000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,487730.0582403198
319,Hyundai Xcent 1.1 CRDi SX Option,2017,70000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0,522562.2174677928
320,Tata Tiago 1.2 Revotron XZ,2017,42000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,329829.79809529276
321,Hyundai Creta 1.6 SX Automatic,2016,40000,Petrol,Dealer,Automatic,First Owner,14.8 kmpl,1591 CC,121.3 bhp,151NM@ 4850rpm,5.0,715760.0196458879
322,Maruti Swift VXI Deca,2016,20000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,471863.8258908714
323,Tata Indigo Grand Petrol,2008,40000,Petrol,Individual,Manual,Fourth & Above Owner,12.85 kmpl,1396 CC,99.6 bhp,124Nm@ 3500rpm,5.0,127006.01771430254
324,Tata Sumo EX,2016,63000,Diesel,Dealer,Manual,First Owner,15.3 kmpl,2956 CC,83.8 bhp,250Nm@ 1000-2000rpm,9.0,692154.6050296834
325,Mahindra Scorpio EX,2011,120000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,8.0,359547.4240134871
326,Skoda Rapid 1.5 TDI AT Style Plus,2016,99000,Diesel,Dealer,Automatic,First Owner,21.66 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,730173.4925112587
327,Hyundai Verna 1.4 CRDi,2015,248000,Diesel,Individual,Manual,First Owner,24.8 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1750-2750rpm,5.0,447747.1636667669
328,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,45000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,693934.4354053084
329,Maruti Ertiga SHVS VDI,2015,40000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,658988.0779854165
330,Maruti Zen LX,1999,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,47849.57653559452
331,Maruti Swift AMT VVT VXI,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,748364.9489293534
332,Maruti Alto K10 2010-2014 VXI,2011,50000,Petrol,Individual,Manual,Third Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,206805.14081759195
333,Tata Indica V2 DLS TC,2008,40000,Diesel,Individual,Manual,First Owner,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5.0,131139.16300550205
334,Chevrolet Aveo U-VA 1.2 LT,2007,60000,Petrol,Individual,Manual,Third Owner,14.7 kmpl,1150 CC,76 bhp,"11.2@ 4,400(kgm@ rpm)",5.0,96877.41612191412
335,Maruti Baleno Zeta 1.3,2015,70000,Diesel,Individual,Manual,Second Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,450406.6805528604
336,Hyundai i20 Magna 1.2,2015,35000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,392500.6684906619
337,Mercedes-Benz New C-Class 220 CDI AT,2013,25000,Diesel,Individual,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0,1716831.4822881278
338,Maruti Alto LX BSIII,2007,110000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,103090.19319721175
339,Tata Manza Aqua Quadrajet,2011,97343,Diesel,Dealer,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0,254347.71380070443
340,Mahindra XUV500 W8 4WD,2011,80000,Diesel,Individual,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,510516.3340327408
341,Maruti Ritz VDi,2012,70000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,351243.8549667775
342,Hyundai i10 Magna,2012,27000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,272330.1499347041
343,Maruti Swift VXI Deca,2016,32000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,466692.52501486783
344,Mahindra Scorpio M2DI,2011,80000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5.0,413164.19633937004
345,Tata Manza Aura Quadrajet BS IV,2012,86000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,267920.0391943186
346,Hyundai Santro Asta BSIV,2018,25000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0,462988.75655384804
347,Maruti Wagon R LXI BSIII,2006,100000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5.0,116666.06347085725
348,Hyundai Verna 1.6 SX CRDi (O),2014,29340,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,724006.9611698759
349,Maruti Alto 800 Base,2015,50000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,260729.04059362639
350,Tata Hexa XT,2017,45000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,928106.4489199668
351,Maruti Ciaz S 1.3,2017,47747,Diesel,Dealer,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,758094.5132478777
352,Tata Zest Quadrajet 1.3 75PS XE,2019,15000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,498904.3076784093
353,Mahindra Bolero SLE,2009,170000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,266538.30533917743
354,Mahindra Bolero SLX,2011,100000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,352963.043313245
355,Hyundai Verna CRDi SX ABS,2009,90000,Diesel,Individual,Manual,Second Owner,18.1 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,329049.2198743343
356,Tata Indigo eCS GLS,2013,120000,Petrol,Individual,Manual,First Owner,15.64 kmpl,1193 CC,64.1 bhp,100Nm@ 2700rpm,5.0,157943.45601796143
357,Hyundai i20 Diesel Asta Option,2014,76000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,495235.9228518733
358,Toyota Innova Crysta 2.4 ZX MT BSIV,2017,33019,Diesel,Dealer,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,7.0,1870444.4044695317
359,Mahindra TUV 300 T8,2015,110000,Diesel,Individual,Manual,Second Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,550591.7616462505
360,Maruti Alto K10 VXI,2017,3564,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,456834.4063833243
361,Hyundai Elantra S,2016,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0,814161.0699102292
362,Mitsubishi Pajero 2.8 SFX BSIII Single Tone,2011,120000,Diesel,Individual,Manual,Second Owner,10.5 kmpl,2835 CC,116.9 bhp,292Nm@ 2000rpm,6.0,672118.2016791
363,Maruti Celerio X ZXI BSIV,2019,7000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0,571156.1268228284
364,Mercedes-Benz GLA Class 200 CDI SPORT,2017,23000,Diesel,Dealer,Automatic,First Owner,17.9 kmpl,2143 CC,136 bhp,300Nm@ 1600-3000rpm,5.0,2112267.0194131816
365,Datsun GO Plus T BSIV,2016,70000,Petrol,Individual,Manual,Second Owner,19.44 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,7.0,275250.16259014024
366,Renault KWID RXT,2016,66693,Petrol,Dealer,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,302190.0570639689
367,Maruti Alto 800 LXI,2018,20000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,389291.62665488484
368,Mahindra Bolero 2011-2019 SLX,2012,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,402305.701672086
369,Maruti Baleno Alpha 1.3,2018,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,707319.027885111
370,Hyundai EON LPG Era Plus,2012,120000,LPG,Individual,Manual,First Owner,21.1 km/kg,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,229193.8013477135
371,Mahindra Scorpio 2.6 CRDe,2006,120000,Diesel,Individual,Manual,Third Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,243480.31229116808
372,Toyota Etios G,2011,110000,Petrol,Individual,Manual,First Owner,17.6 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0,318521.20824935444
373,Maruti Baleno RS 1.0 Petrol,2018,15000,Petrol,Individual,Manual,First Owner,21.1 kmpl,998 CC,100.5 bhp,150Nm@ 1700-4500rpm,5.0,882933.3732831993
374,Renault Duster 110PS Diesel RxL,2015,136000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0,580630.8108512592
375,Ford Figo Diesel Titanium,2011,103000,Diesel,Individual,Manual,Third Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,220313.60047140758
376,Maruti Ciaz VXi Plus,2015,26000,Petrol,Individual,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,5.0,452886.614078069
377,Honda City i DTec V,2014,72000,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,587920.2138175295
378,Hyundai Santro Sportz BSIV,2018,7800,Petrol,Individual,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0,470359.74713306956
379,Honda City i VTEC VX Option BL,2016,22000,Petrol,Individual,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,682192.2950648601
380,Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,40000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,680362.1616005477
381,Maruti 800 Std,2000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,34857.24648068008
382,Maruti Alto LXi,2009,54000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,142755.0470209278
383,Skoda Rapid 1.5 TDI Elegance,2015,101500,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,552194.9739075061
384,Volvo V40 D3 R-Design,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0,2638011.2286627046
385,Hyundai Xcent 1.1 CRDi Base,2015,55000,Diesel,Dealer,Manual,First Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0,470504.6381045276
386,Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0,5149950.434593255
387,Mahindra XUV500 W10 2WD,2015,110000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,855684.8608967523
388,Mahindra Scorpio SLE BSIV,2011,110000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,444069.13810241857
389,Mahindra Scorpio S4 Plus,2017,52236,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0,1010167.6250313281
390,Maruti Alto K10 VXI AGS,2015,38000,Petrol,Individual,Automatic,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,362114.73098956444
391,Mahindra Scorpio 2009-2014 SLE 7S BSIV,2014,126000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7.0,665475.2626064216
392,Tata Safari Storme EX,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,685179.8670602714
393,Maruti Swift Dzire ZDI,2012,100000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,322547.2238049596
394,Tata Sumo SE,2002,120000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,83.1 bhp,250Nm@ 1600-2000rpm,7.0,142142.92971199963
395,Maruti Zen Estilo 1.1 LX BSIII,2007,80000,Petrol,Individual,Manual,Second Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0,129865.24834460838
396,Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0,592728.0033912759
397,Maruti Celerio ZXI,2015,60000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,350621.5481839433
398,Maruti Swift LDI BSIV,2014,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,432488.8572908269
399,Tata Nexon 1.5 Revotorq XZA Plus,2019,10000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0,782105.5034679852
400,Tata Indigo CS eLX BS IV,2011,120000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,177546.04868920072
401,Maruti Ertiga SHVS ZDI Plus,2016,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,727638.1484557107
402,Maruti 800 AC,1999,80000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,32416.092361999144
403,Maruti Alto 800 LXI,2014,43381,Petrol,Dealer,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,245081.712942838
404,Hyundai Verna 1.4 CRDi,2016,40000,Diesel,Individual,Manual,First Owner,24.8 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1750-2750rpm,5.0,603967.4060136792
405,Tata Nano Cx BSIV,2010,50000,Petrol,Individual,Manual,Third Owner,26.0 kmpl,624 CC,35 bhp,"48@ 3,000+/-500(NM@ rpm)",4.0,69744.86949729804
406,Hyundai Venue SX Plus Turbo DCT BSIV,2019,3500,Petrol,Dealer,Automatic,First Owner,18.15 kmpl,998 CC,118.35 bhp,171.6Nm@ 1500-4000rpm,5.0,1409503.8716336999
407,Ford Figo Petrol EXI,2010,30000,Petrol,Individual,Manual,First Owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5.0,183631.9957955673
408,Maruti Swift Ldi BSIII,2008,152500,Diesel,Individual,Manual,First Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0,219519.6279636736
409,Tata Nexon 1.5 Revotorq XM,2018,9500,Diesel,Individual,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0,652495.1661503076
410,Maruti Alto LXi BSIII,2005,49455,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,92960.76720567867
411,Hyundai i20 1.4 CRDi Era,2010,90000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,291147.76238562935
412,Maruti Eeco 7 Seater Standard BSIV,2016,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0,389577.1374410444
413,Ford Ikon 1.6 Really Sport,2003,80000,Petrol,Individual,Manual,Third Owner,14.2 kmpl,1597 CC,92 bhp,130@ 2500(kgm@ rpm),5.0,92710.4526617175
414,Tata Indica Vista TDI LS,2012,90000,Diesel,Individual,Manual,Third Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,186554.0602394231
415,Mahindra XUV300 W8 Option BSIV,2019,16500,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5.0,857759.1474164983
416,Maruti Swift Dzire VDI,2014,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,393250.34568496904
417,Mahindra Bolero 2011-2019 SLX,2014,65000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,496084.3159098926
418,Maruti Vitara Brezza ZDi Plus,2017,25000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,756687.0704544428
419,Maruti SX4 ZXI MT BSIV Leather,2010,155000,Petrol,Individual,Manual,Second Owner,15.5 kmpl,1586 CC,103.3 bhp,145Nm@ 4100rpm,5.0,252601.37197143328
420,Toyota Fortuner 3.0 Diesel,2012,129627,Diesel,Dealer,Manual,First Owner,11.5 kmpl,2982 CC,171 bhp,343Nm@ 1400-3400rpm,7.0,1342120.6336487571
421,Volkswagen Vento Diesel Highline,2012,120000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,387159.59027778154
422,Ford Figo Diesel EXI,2012,54000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,288128.07534006075
423,Maruti Alto LX,2005,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,74675.36602626454
424,Tata Indica Vista Quadrajet VX Tech,2014,120000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,264435.04847932205
425,Tata Indica V2 DLS,2007,120000,Diesel,Individual,Manual,Third Owner,17.2 kmpl,1396 CC,53.5 bhp,"8.5@ 2,500(kgm@ rpm)",5.0,88048.50126108606
426,Mahindra XUV500 W8 4WD,2015,173000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,807584.8989877388
427,Mahindra Scorpio LX,2011,80000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0,462529.4362124662
428,Maruti Wagon R VXI BS IV,2013,57000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,270525.50917628413
429,Maruti Wagon R VXI BS IV,2015,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,361433.46538519853
430,Hyundai Xcent 1.2 VTVT E,2019,60000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,587559.3668393075
431,Honda Jazz VX,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,543610.5194522468
432,Tata Tiago 1.2 Revotron XZ,2017,42000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,329829.79809529276
433,Maruti Alto LX,2006,42500,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,104255.64860635687
434,Maruti Baleno Delta 1.2,2017,46000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,520166.8631553488
435,Honda Brio S MT,2014,60000,Petrol,Individual,Manual,Second Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,377178.96224150516
436,Chevrolet Cruze LTZ,2011,100000,Diesel,Individual,Manual,First Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0,412890.79651599284
437,Renault Koleos 2.0 Diesel,2013,75010,Diesel,Dealer,Automatic,First Owner,13.73 kmpl,1995 CC,148 bhp,320Nm@ 2000rpm,5.0,783068.3917958545
438,Tata Aria Pride,2013,110000,Diesel,Individual,Manual,Second Owner,13.7 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,485530.5466031309
439,Hyundai Creta 1.4 CRDi Base,2017,60000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0,671347.3112133597
440,Volvo XC40 D4 Inscription BSIV,2019,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5.0,3827355.3921687542
441,Mahindra Bolero DI BSIII,2011,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,308870.79565350234
442,Maruti Alto 800 LXI,2020,5000,Petrol,Individual,Manual,First Owner,22.05 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,496185.0770006542
443,Hyundai EON Magna Plus,2012,80000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,199624.26707228742
444,Maruti Wagon R LX BSIII,2008,100000,Petrol,Individual,Manual,Third Owner,17.3 kmpl,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5.0,134699.5827595971
445,Audi A6 2.0 TDI Premium Plus,2013,35000,Diesel,Individual,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0,1514100.1150223142
446,Maruti Ertiga SHVS ZDI Plus,2016,54000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,684434.961768112
447,Mahindra TUV 300 T8,2017,120000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,717598.8068865193
448,Mercedes-Benz E-Class E 250 Elegance,2010,35000,Petrol,Individual,Automatic,Second Owner,10.93 kmpl,2497 CC,204 bhp,245Nm@ 5000rpm,5.0,1109477.229329516
449,Hyundai EON Era Plus,2017,8000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,388192.26626496855
450,Honda City i DTec E,2016,80000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,696100.9454990767
451,Hyundai Verna VTVT 1.6 SX,2019,15000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,895403.4066570116
452,Hyundai Accent Executive,2011,70000,Petrol,Individual,Manual,First Owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5.0,272026.73054738913
